Dataset: common_claim_true_false, Layer: 12
Compare: truthful vs deceptive

Aggregate Metrics:
  l2_mean        : 11.0828
  l2_std         : 0.5634
  cosine_mean    : 0.8952
  cosine_std     : 0.0130
  overlap_mean   : 0.3525
  overlap_std    : 0.0230

Top 20 Shifting Features:
Rank  Index           Abs Mean Diff  
-------------------------------------
1    112602         2.2656         
2    6039           1.7109         
3    23041          1.5469         
4    85773          1.3750         
5    19868          1.3672         
6    44034          1.3281         
7    113534         1.3047         
8    617            1.2266         
9    62188          1.1875         
10   6363           1.1406         
11   125096         1.1406         
12   6380           1.1172         
13   2404           1.1094         
14   39146          1.1016         
15   86693          1.0859         
16   27911          1.0703         
17   16737          1.0469         
18   39960          1.0469         
19   20164          1.0000         
20   2586           0.9922         
