Dataset: common_claim_true_false, Layer: 24
Compare: truthful vs neutral

Aggregate Metrics:
  l2_mean        : 3.9284
  l2_std         : 0.5954
  cosine_mean    : 0.9840
  cosine_std     : 0.0075
  overlap_mean   : 0.7194
  overlap_std    : 0.0668

Top 20 Shifting Features:
Rank  Index           Abs Mean Diff  
-------------------------------------
1    28545          0.6797         
2    26099          0.6602         
3    20887          0.6328         
4    10621          0.6094         
5    65217          0.5156         
6    10073          0.5000         
7    49930          0.4883         
8    48808          0.4180         
9    27700          0.4023         
10   121811         0.3867         
11   47028          0.3789         
12   35718          0.3594         
13   29560          0.3594         
14   25313          0.3438         
15   115268         0.3184         
16   25644          0.3164         
17   40156          0.2969         
18   100904         0.2852         
19   65136          0.2812         
20   91506          0.2734         
